State = SABAH, DOE = PPD BELURAN, Level = Menengah, Category = SK, School Type = SMK, Location = Luar Bandar, Inland = P2, School Code = XEA2143, School Name = SEKOLAH MENENGAH KEBANGSAAN PAMOL, Source = Janakuasa Sekolah > 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Menengah, Category = SK, School Type = SMK, Location = Luar Bandar, Inland = P2, School Code = XEA2144, School Name = SEKOLAH MENENGAH KEBANGSAAN SIMPANGAN, Source = Janakuasa Sekolah > 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P1, School Code = XBA2123, School Name = SEKOLAH KEBANGSAAN SUNGAI SAPI, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P1, School Code = XBA2142, School Name = SEKOLAH KEBANGSAAN NANGOH, Source = Janakuasa Sekolah > 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P2, School Code = XBA2116, School Name = SEKOLAH KEBANGSAAN PAMOL, Source = Janakuasa Sekolah > 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P2, School Code = XBA2119, School Name = SEKOLAH KEBANGSAAN SIMPANGAN, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P2, School Code = XBA2125, School Name = SEKOLAH KEBANGSAAN TAGAS-TAGAS, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P2, School Code = XBA2131, School Name = SEKOLAH KEBANGSAAN KABULUH, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P2, School Code = XBA2133, School Name = SEKOLAH KEBANGSAAN MAIDAN, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA2112, School Name = SEKOLAH KEBANGSAAN LINGKABAU, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA2147, School Name = SEKOLAH KEBANGSAAN ABUAN, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD BELURAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA2160, School Name = SEKOLAH KEBANGSAAN MATANGGAL BELURAN, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD KINABATANGAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA2201, School Name = SEKOLAH KEBANGSAAN ABAI, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD KINABATANGAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA2202, School Name = SEKOLAH KEBANGSAAN BALAT, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD KINABATANGAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA2226, School Name = SEKOLAH KEBANGSAAN DESA PERMAI, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD KOTA MARUDU, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA5228, School Name = SEKOLAH KEBANGSAAN MAGANDAI, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD KUDAT, Level = Menengah, Category = SK, School Type = SMK, Location = Luar Bandar, Inland = P3, School Code = XEA5021, School Name = SEKOLAH MENENGAH KEBANGSAAN BANGGI, Source = Janakuasa Sekolah > 5 kVA
State = SABAH, DOE = PPD KUDAT, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA5003, School Name = SEKOLAH KEBANGSAAN LAKSIAN, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD LAHAD DATU, Level = Menengah, Category = SK, School Type = SMK, Location = Luar Bandar, Inland = TIDAK, School Code = XEA3101, School Name = SEKOLAH MENENGAH KEBANGSAAN TUNGKU, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD LAHAD DATU, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P1, School Code = XBA3141, School Name = SEKOLAH KEBANGSAAN SAHABAT 16, Source = Janakuasa Sekolah > 5 kVA
State = SABAH, DOE = PPD PENAMPANG, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA4102, School Name = SEKOLAH KEBANGSAAN BUAYAN, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD PENAMPANG, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA4107, School Name = SEKOLAH KEBANGSAAN LONGKOGUNGON, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD PENAMPANG, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA4121, School Name = SEKOLAH KEBANGSAAN TERIAN, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD PENSIANGAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA1107, School Name = SEKOLAH KEBANGSAAN SALILARAN, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD PITAS, Level = Menengah, Category = SK, School Type = SMK, Location = Luar Bandar, Inland = P3, School Code = XEA5219, School Name = SEKOLAH MENENGAH KEBANGSAAN TELAGA, Source = Janakuasa Sekolah > 5 kVA
State = SABAH, DOE = PPD PITAS, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA5214, School Name = SEKOLAH KEBANGSAAN PINAPAK, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD PITAS, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA5221, School Name = SEKOLAH KEBANGSAAN MARINGGAN PITAS, Source = Janakuasa Sekolah > 5 kVA
State = SABAH, DOE = PPD PITAS, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA5222, School Name = SEKOLAH KEBANGSAAN MANGGIS/MONGKUBOU, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD RANAU, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA2141, School Name = SEKOLAH KEBANGSAAN KARAGASAN, Source = Janakuasa Sekolah < 5 kVA
State = SABAH, DOE = PPD TELUPID/TONGOD, Level = Menengah, Category = SK, School Type = SMK, Location = Luar Bandar, Inland = P2, School Code = XEA2224, School Name = SEKOLAH MENENGAH KEBANGSAAN PENANGAH, Source = Janakuasa Sekolah > 5 kVA
State = SABAH, DOE = PPD TELUPID/TONGOD, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P2, School Code = XBA2213, School Name = SEKOLAH KEBANGSAAN PENANGAH, Source = Janakuasa Sekolah = 5 kVA
State = SABAH, DOE = PPD TUARAN, Level = Rendah, Category = SK, School Type = SK, Location = Luar Bandar, Inland = P3, School Code = XBA4386, School Name = SEKOLAH KEBANGSAAN SUNGOI, Source = Janakuasa Sekolah < 5 kVA
